pred0,prey0,psi0_unit,psi1_unit,replicate,reward_delta_negative_rmse,round,t_span,t_start
15.0,40.0,0.7264228660580175,0.4741867133374845,0,-0.006327170360937773,1,6.358537196348105,14.055587825378991
15.0,40.0,0.23246072721878097,0.49578432881580703,0,0.011220112870974686,2,3.394764363312686,16.16516486601625
15.0,40.0,0.033484019024850875,0.5284921880704881,0,-0.00947875580235874,3,2.2009041141491053,17.862558139517574
15.0,40.0,0.8322892657827518,0.5327116739729001,0,0.016488581815434028,4,6.993735594696511,15.45197566704977
15.0,40.0,0.7403518262071023,0.17407703165276223,0,0.008648803698955765,5,6.442110957242614,5.145349586484912
15.0,40.0,0.5269908480518699,0.5265407716035212,1,0.01720182910199805,1,5.161945088311219,16.237493227952367
15.0,40.0,0.5315203377654115,0.31806104874691854,1,-0.011241746319570284,2,5.189122026592469,9.799740161035333
15.0,40.0,0.8722635248837907,0.2511793508917578,1,0.007175195265509471,3,7.2335811493027435,7.225530414398563
15.0,40.0,0.5556909795025283,0.3303239111341876,1,0.005793373001169,4,5.33414587701517,10.1296648721748
15.0,40.0,0.3110975800785897,0.7478240992040912,1,-0.006330804231012566,5,3.866585480471538,24.03014176741804
15.0,40.0,0.1293193789536704,0.6444856241645649,2,0.010929210942831835,1,2.7759162737220224,21.412444337626024
15.0,40.0,0.21260445465641886,0.17032800434740802,2,0.028640415620071108,2,3.275626727938513,5.573877192949891
15.0,40.0,0.020819144684888435,0.7878771393631149,2,-0.022754538989576523,3,2.1249148681093306,26.689405169396007
15.0,40.0,0.9907577344373635,0.11042219195343872,2,0.013424849153953727,4,7.94454640662418,3.097944682028537
15.0,40.0,0.26196764482672863,0.16474954751414672,2,-0.0038442288519207057,5,3.5718058689603716,5.342530309789688
