best_label,best_mean_delta,best_policy,between_policy_std,mean_within_policy_std,n,paired_eta_squared,policies,range_of_policy_means,rank_stability_spearman,raw_eta_squared,replicates,reward,reward_label,winner_stability,worst_label,worst_mean_delta,worst_policy
short late,-0.024444444444444453,short_late,0.026915712694430154,0.06147587156052202,27,0.2630717885973842,9,0.09666666666666668,-0.2333333333333333,0.17581405848747747,3,neg_coverage_error,-coverage error,0.3333333333333333,long middle,-0.12111111111111113,long_middle
long late,-0.01779188418919982,long_late,0.17596278510111615,0.147772766977888,27,0.38491664884151444,9,0.5548846462496386,0.08888888888888886,0.346778364607417,3,neg_predictive_rmse,-posterior-mean predictive RMSE,0.3333333333333333,short middle,-0.5726765304388385,short_middle
long late,-0.04395424036737938,long_late,0.03209323909494161,0.047694100599171264,27,0.38811004633283946,9,0.11384610536881493,0.2222222222222222,0.34717207886648777,3,neg_prior_std_rmse,-prior-std-normalized RMSE,0.6666666666666666,short middle,-0.1578003457361943,short_middle
long late,-0.012688496254065956,long_late,0.00926452011531579,0.01376810090984431,27,0.38811004633283963,9,0.032864539790437935,0.2222222222222222,0.34717207886648827,3,neg_range_rmse,-range-normalized RMSE,0.6666666666666666,short middle,-0.04555303604450389,short_middle
long late,-0.03259222962105059,long_late,0.017502827681895844,0.03199215717755997,27,0.49211230371641385,9,0.046235924869374494,0.23333333333333336,0.2595357246277418,3,neg_range_rmse_alpha,-range-normalized RMSE alpha,0.6666666666666666,long middle,-0.07882815449042509,long_middle
medium late,-0.02553044794068743,medium_late,0.008956262685125319,0.020980712867674563,27,0.17724232099352108,9,0.02897872274884642,-0.2222222222222222,0.15861891863052127,3,neg_range_rmse_beta,-range-normalized RMSE beta,0.0,short middle,-0.05450917068953385,short_middle
long late,0.010299814716203263,long_late,0.008540954327512451,0.031853245454228976,27,0.2261325526177437,9,0.02774704986985626,-0.13888888888888887,0.08106865157062673,3,neg_range_rmse_delta,-range-normalized RMSE delta,0.3333333333333333,short middle,-0.017447235153652995,short_middle
long late,0.0069184141122393406,long_late,0.015127128367080675,0.02038111125099877,27,0.45429532758245855,9,0.05178519006249795,0.18333333333333335,0.36216077103300914,3,neg_range_rmse_gamma,-range-normalized RMSE gamma,0.3333333333333333,long early,-0.04486677595025861,long_early
long late,-0.008434263537011608,long_late,0.009305144342231977,0.011693280886390696,27,0.4765183086489049,9,0.029992480996387426,0.25555555555555554,0.38202463703328876,3,neg_raw_rmse,-raw RMSE,0.6666666666666666,short middle,-0.03842674453339903,short_middle
short late,-0.028593556368440114,short_late,0.013591388074593935,0.026049046076615713,27,0.3275723394539563,9,0.03695947967606378,0.19444444444444442,0.2503317333300973,3,rmse_coverage,-RMSE - coverage penalty,0.3333333333333333,short middle,-0.0655530360445039,short_middle
long late,-0.030578795784097057,long_late,0.026593958118102105,0.032778552088946054,27,0.44397816494074105,9,0.09224189330429068,0.11666666666666665,0.42242139888056557,3,rmse_coverage_predictive,-RMSE - coverage - predictive penalties,0.3333333333333333,short middle,-0.12282068908838774,short_middle
long late,-0.014467684672985945,long_late,0.024873026757478732,0.024628466214207508,27,0.4681843364612696,9,0.08835300441540178,0.2222222222222222,0.46107098952597897,3,rmse_predictive,-RMSE - predictive penalty,0.6666666666666666,short middle,-0.10282068908838772,short_middle
