timestamp,run_label,description,model_name,seed,training_seed,validation_seed,network_seed,synthetic_recovery_seed,num_training_batches,batch_size,num_training_sims,num_validation_sets,epochs,mlp_widths,mlp_norm,mlp_dropout,mlp_residual,synthetic_r,synthetic_mae,synthetic_rmse,synthetic_mean_error,synthetic_q10_q90_coverage,synthetic_mean_q10_q90_width,real_r,real_mae,real_rmse,real_mean_error,real_q10_q90_coverage,real_mean_q10_q90_width,simulator_variant,simulator_description,continuous_residual_noise_scale,observation_noise_scale,latent_std_scale,direct_age_effect_scale,latent_age_effect_scale,latent_loading_scale,model_version,model_family,dependence_model_type,copula_enabled,approach_name,continuous_empirical_residual_bootstrap,sbp_bmi_effect_scale,sbp_age_bin_mean_correction,sbp_age_bin_mean_correction_scale
2026-06-19T15:10:28,mlp_large_512_512_256,Bigger MLP capacity only; same simulator/data seeds and training budget.,set_b_non_lab_diagnosis,1234,1236,1237,1238,1239,512,64,32768,300,15,"(512, 512, 256)",layer,0.05,True,0.5880427495274608,6.630967971801758,8.333704777343703,-0.1478390655517578,0.762,20.426874015808107,0.4883253096998628,6.89662365088502,8.579224311763365,-0.2256209152719122,0.7590865229977485,20.398215924861464,,,,,,,,,,,,,,,,,
2026-06-19T15:19:57,mlp_large_512_512_256,Bigger MLP capacity only; same simulator/data seeds and training budget.,set_b_non_lab_diagnosis,1234,1236,1237,1238,1239,1024,64,65536,300,30,"(512, 512, 256)",layer,0.05,True,0.5918311576493113,6.6108867492675785,8.306594911117562,-0.0800381622314453,0.784,20.68613941192627,0.4916992438765982,6.880609863882896,8.554996038390913,-0.1743109830772788,0.7635895786426504,20.608625959836235,,,,,,,,,,,,,,,,,
2026-06-19T15:32:38,mlp_256_256__continuous_residual_noise_0_5,Current MLP/training budget with continuous empirical residual noise scaled by 0.5.,set_b_non_lab_diagnosis,1234,1236,1237,1238,1239,512,64,32768,300,15,"(256, 256)",layer,0.05,True,0.7761366133915313,5.174530403137207,6.5068140679616,-0.0186005325317382,0.784,16.006985229492187,0.4866208240510168,7.673048304601137,9.7520055964752,0.0646374021374425,0.5985847539401737,15.827973669769296,continuous_residual_noise_0_5,Continuous empirical residual noise scaled by 0.5; observation and latent noise unchanged.,0.5,1.0,1.0,,,,,,,,,,,,
2026-06-19T15:44:02,mlp_256_256__residual_noise_0_5_latent_noise_0_5,Current MLP/training budget with residual and latent noise scaled by the active simulator variant.,set_b_non_lab_diagnosis,1234,1236,1237,1238,1239,512,64,32768,300,15,"(256, 256)",layer,0.05,True,0.7880436285020177,5.046872085571289,6.352332922909925,-0.0243277893066406,0.78,15.4972430267334,0.4848814724885699,7.764720940361796,9.874880648806515,0.0411410510150081,0.5722097137343197,15.253508242965705,residual_noise_0_5_latent_noise_0_5,Continuous empirical residual noise and latent-factor stochasticity scaled by 0.5; observation noise unchanged.,0.5,1.0,0.5,1.0,1.0,1.0,,,,,,,,,
2026-06-19T15:54:28,mlp_256_256__residual_noise_0_5_latent_noise_0_5,Current MLP/training budget with residual and latent noise scaled by the active simulator variant.,set_b_non_lab_diagnosis,1234,1236,1237,1238,1239,512,64,32768,300,15,"(256, 256)",layer,0.05,True,0.7880436285020177,5.046872085571289,6.352332922909925,-0.0243277893066406,0.78,15.4972430267334,0.4848814724885699,7.764720940361796,9.874880648806515,0.0411410510150081,0.5722097137343197,15.253508242965705,residual_noise_0_5_latent_noise_0_5,Continuous empirical residual noise and latent-factor stochasticity scaled by 0.5; observation noise unchanged.,0.5,1.0,0.5,1.0,1.0,1.0,,,,,,,,,
2026-06-22T14:15:22,mlp_256_256__residual_noise_0_5_latent_noise_0_5,Current MLP/training budget with residual and latent noise scaled by the active simulator variant.,set_b_non_lab_diagnosis,1234,1236,1237,1238,1239,512,64,32768,300,15,"(256, 256)",layer,0.05,True,0.7880436285020177,5.046872085571289,6.352332922909925,-0.0243277893066406,0.78,15.4972430267334,0.4848814724885699,7.764720940361796,9.874880648806515,0.0411410510150081,0.5722097137343197,15.253508242965705,residual_noise_0_5_latent_noise_0_5,Continuous empirical residual noise and latent-factor stochasticity scaled by 0.5; observation noise unchanged.,0.5,1.0,0.5,1.0,1.0,1.0,,,,,,,,,
2026-06-22T14:24:14,mlp_256_256__copula_residual_noise_0_5_latent_noise_0_5,Current MLP/training budget with residual and latent noise scaled by the active simulator variant.,set_b_non_lab_diagnosis,1234,1236,1237,1238,1239,512,64,32768,300,15,"(256, 256)",layer,0.05,True,0.7880436285020177,5.046872085571289,6.352332922909925,-0.0243277893066406,0.78,15.4972430267334,0.4848814724885699,7.764720940361796,9.874880648806515,0.0411410510150081,0.5722097137343197,15.253508242965705,copula_residual_noise_0_5_latent_noise_0_5,Conditional Gaussian copula enabled; continuous residual noise and latent-factor stochasticity scaled by 0.5; observation noise unchanged.,0.5,1.0,0.5,1.0,1.0,1.0,2.0,sequential_conditionals_with_gaussian_copula,conditional_gaussian_copula,True,,,,,
2026-06-23T09:38:41,large_mlp_512_512_256_n131072_e40__copula_residual_noise_0_5_latent_noise_0_5_512_512_256_big_data,Large-capacity point-estimation run with more simulated data and more epochs for the copula simulator.,set_b_non_lab_diagnosis,1234,1236,1237,1238,1239,1024,128,131072,1000,40,"(512, 512, 256)",layer,0.05,True,0.7968127811220918,5.030891403198242,6.240504567677172,-0.4159206085205078,0.766,15.64178273010254,0.4874621644821113,7.668743359784024,9.70978474831945,0.0256182269880212,0.5792859440334512,15.321691219198549,copula_residual_noise_0_5_latent_noise_0_5_512_512_256_big_data,Conditional Gaussian copula enabled; continuous residual noise and latent-factor stochasticity scaled by 0.5; observation noise unchanged.; big network architecture (512-512-256); large training dataset (100k samples).,0.5,1.0,0.5,1.0,1.0,1.0,2.0,sequential_conditionals_with_gaussian_copula,conditional_gaussian_copula,True,,,,,
2026-06-23T14:04:21,overfit_two_batch_memorization_check_mlp_512_512_256_n256_e300__copula_empirical_residuals_sbp_bmi_0_5_sbp_agebin_mean_0_5,Overfit diagnostic on two fixed synthetic batches; no validation data and dropout disabled.,set_b_non_lab_diagnosis,1234,1236,1237,1238,1239,2,128,256,0,300,"(512, 512, 256)",layer,0.0,True,0.3662455598315792,9.24263175201416,11.550643245599732,-0.5416253280639648,0.25,7.29000638961792,0.2532471959408132,9.341723359457047,11.88581174328036,-0.4724986702219832,0.2856223866194918,7.823246871516344,copula_empirical_residuals_sbp_bmi_0_5_sbp_agebin_mean_0_5,Conditional Gaussian copula enabled; empirical continuous residual bootstrap enabled; SBP-BMI effect scaled by 0.5; train-only SBP age-bin mean correction scaled by 0.5.,1.0,1.0,1.0,1.0,1.0,1.0,2.0,sequential_conditionals_with_gaussian_copula,conditional_gaussian_copula,True,overfit_two_batch_memorization_check,True,0.5,True,0.5
2026-07-04T12:02:36,overfit_two_batch_memorization_check_mlp_512_512_256_n256_e300__copula_empirical_residuals_sbp_bmi_0_5_sbp_agebin_mean_0_5,Overfit diagnostic on two fixed synthetic batches; no validation data and dropout disabled.,set_e_kdm8_common_lab,1234,1236,1237,1238,1239,2,128,256,0,300,"(512, 512, 256)",layer,0.0,True,0.5350007729109858,8.101546230316162,10.15401777466677,-0.3471304206848145,0.062,1.4340498504638672,0.4510737276212124,8.4154521180343,10.560959447387692,-0.6330559007080434,0.0566521404768008,1.5141264199904985,copula_empirical_residuals_sbp_bmi_0_5_sbp_agebin_mean_0_5,Conditional Gaussian copula enabled; empirical continuous residual bootstrap enabled; SBP-BMI effect scaled by 0.5; train-only SBP age-bin mean correction scaled by 0.5.,1.0,1.0,1.0,1.0,1.0,1.0,2.0,sequential_conditionals_with_gaussian_copula,conditional_gaussian_copula,True,overfit_two_batch_memorization_check,True,0.5,True,0.5
2026-07-04T12:35:52,overfit_two_batch_memorization_check_mlp_512_512_256_n256_e300__copula_empirical_residuals_sbp_bmi_0_5_sbp_agebin_mean_0_5,Overfit diagnostic on two fixed synthetic batches; no validation data and dropout disabled.,set_e_kdm8_common_lab,1234,1236,1237,1238,1239,2,128,256,0,300,"(512, 512, 256)",layer,0.0,True,0.5350007729109858,8.101546230316162,10.15401777466677,-0.3471304206848145,0.062,1.4340498504638672,0.4510737276212124,8.4154521180343,10.560959447387692,-0.6330559007080434,0.05665214047680082,1.5141264199904985,copula_empirical_residuals_sbp_bmi_0_5_sbp_agebin_mean_0_5,Conditional Gaussian copula enabled; empirical continuous residual bootstrap enabled; SBP-BMI effect scaled by 0.5; train-only SBP age-bin mean correction scaled by 0.5.,1.0,1.0,1.0,1.0,1.0,1.0,2.0,sequential_conditionals_with_gaussian_copula,conditional_gaussian_copula,True,overfit_two_batch_memorization_check,True,0.5,True,0.5
