feature,brier_score,log_score,observed_prevalence,mean_predicted_probability
smoke,0.23034225,0.6524825211824288,0.4,0.38325
drink,0.23744325,0.6670613479779532,0.4,0.41615
hypertension,0.14537875,0.46097023937124154,0.24,0.24244999999999997
dyslipidemia,0.034203000000000004,0.1709370376403869,0.03,0.09489999999999998
diabetes,0.05582125000000002,0.21958045598660103,0.06,0.058450000000000016
cancer,0.000149750000000014,0.00932625129186373,0.0,0.009250001400000001
cvd,0.12594275,0.4171456218393995,0.16,0.12205
arthritis,0.21861450000000002,0.6283236959983394,0.34,0.36050000000000004
koa,0.08332824999999999,0.2949530401745781,0.1,0.10975
